identifier,RWS,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
open3r-trans-eng-gmca-gmcat0000041,hwrc-eng-gmca-gb3907ml,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000042,hwrc-eng-gmca-gb3907ml,hwrc-trans-02,1,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000043,hwrc-eng-gmca-gb3907ml,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000044,hwrc-eng-gmca-gb3907ml,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000045,hwrc-eng-gmca-gb3907ml,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000046,hwrc-eng-gmca-gb3908cr,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000047,hwrc-eng-gmca-gb3908cr,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000048,hwrc-eng-gmca-gb3908cr,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000049,hwrc-eng-gmca-gb3908cr,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000050,hwrc-eng-gmca-gb3908cr,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000051,hwrc-eng-gmca-gb3908fj,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000052,hwrc-eng-gmca-gb3908fj,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000053,hwrc-eng-gmca-gb3908fj,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000054,hwrc-eng-gmca-gb3908fj,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000055,hwrc-eng-gmca-gb3908fj,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000056,hwrc-eng-gmca-gb3908gq,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000057,hwrc-eng-gmca-gb3908gq,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000058,hwrc-eng-gmca-gb3908gq,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000059,hwrc-eng-gmca-gb3908gq,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000060,hwrc-eng-gmca-gb3908gq,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000061,hwrc-eng-gmca-gb3907cw,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000062,hwrc-eng-gmca-gb3907cw,hwrc-trans-02,1,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su off; PH 07:00-17:00,0,0,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000063,hwrc-eng-gmca-gb3907cw,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000064,hwrc-eng-gmca-gb3907cw,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000065,hwrc-eng-gmca-gb3907cw,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000066,hwrc-eng-gmca-gb3908hp,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000067,hwrc-eng-gmca-gb3908hp,hwrc-trans-02,0,,,,,,,,,,24/09/2021
