identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-gmca-gb3908gq,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3908gq,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908gq,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,hwrc-trans-02,1,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su off; PH 07:00-17:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3907cw,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907cw,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,hwrc-trans-02,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3908hp,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908hp,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,hwrc-trans-02,1,Mo-Fr 07:00-18:00; Sa-Su 07:00-17:00; PH 07:00-18:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3907fd,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907fd,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,hwrc-trans-02,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
