Id,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-som-kb3605kr,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-kb3605kr,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-eb3805gz,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-eb3805gz,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-eb3805gz,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-eb3805gz,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-cp3390fl,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-cp3390fl,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-cp3390fl,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-cp3390fl,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-dp3293ln,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-dp3293ln,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-dp3293ln,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-dp3293ln,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-hp3690fn,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-hp3690fn,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-hp3690fn,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-hp3690fn,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-dst-ap3897hl,small vehicle,1,,0,0,,2.0 m,,,,,4/10/2021
,hwrc-eng-dst-ap3897hl,large vehicle,1,,1,0,,,,,3.5 t,,4/10/2021
,hwrc-eng-dst-ap3897hl,trailer,1,,0,0,,,1.8 m,1.2 m,,small vehicle,4/10/2021
,hwrc-eng-dst-ap3897hl,pedestrian,,,,,,,,,,,4/10/2021
,hwrc-eng-dst-kb3400cy,small vehicle,1,,0,0,,2.0 m,,,,,4/10/2021
,hwrc-eng-dst-kb3400cy,large vehicle,1,,1,0,,,,,3.5 t,,4/10/2021
,hwrc-eng-dst-kb3400cy,trailer,1,,0,0,,,1.8 m,1.2 m,,small vehicle,4/10/2021
,hwrc-eng-dst-kb3400cy,pedestrian,,,,,,,,,,,4/10/2021
,hwrc-eng-dst-kb3308xk,small vehicle,1,,0,0,,2.0 m,,,,,4/10/2021
,hwrc-eng-dst-kb3308xk,large vehicle,1,,1,0,,,,,3.5 t,,4/10/2021
,hwrc-eng-dst-kb3308xk,trailer,1,,0,0,,,1.8 m,1.2 m,,small vehicle,4/10/2021
,hwrc-eng-dst-kb3308xk,pedestrian,,,,,,,,,,,4/10/2021
,hwrc-eng-dst-kb3400xa,small vehicle,1,,0,0,,2.0 m,,,,,4/10/2021
,hwrc-eng-dst-kb3400xa,large vehicle,1,,1,0,,,,,3.5 t,,4/10/2021
,hwrc-eng-dst-kb3400xa,trailer,1,,0,0,,,1.8 m,1.2 m,,small vehicle,4/10/2021
,hwrc-eng-dst-kb3400xa,pedestrian,,,,,,,,,,,4/10/2021
